elapsed,label,responseCode,bytes,Latency,Connect
545,1 Users - Access -  DailySales,200,62600,545,2
347,1 Users - Access -  DailySales,200,19539,347,0
547,1 Users - Access -  DailySales,200,70623,547,1
761,1 Users - Access -  DailySales,200,127641,760,0
238,1 Users - Access -  DailySales,200,160,238,1
601,1 Users - Access -  DailySales,200,85893,601,0
388,1 Users - Access -  DailySales,200,33042,388,0
414,1 Users - Access -  DailySales,200,37297,414,1
834,1 Users - Access -  DailySales,200,147745,833,0
333,1 Users - Access -  DailySales,200,19730,333,1
663,1 Users - Access -  DailySales,200,100608,662,0
246,1 Users - Access -  DailySales,200,1069,246,0
692,1 Users - Access -  DailySales,200,108750,692,0
236,1 Users - Access -  DailySales,200,160,236,0
427,1 Users - Access -  DailySales,200,39741,427,0
365,1 Users - Access -  DailySales,200,16395,365,0
314,1 Users - Access -  DailySales,200,12347,314,0
664,1 Users - Access -  DailySales,200,102044,663,1
726,1 Users - Access -  DailySales,200,116236,726,1
236,1 Users - Access -  DailySales,200,160,236,0
237,1 Users - Access -  DailySales,200,160,237,0
312,1 Users - Access -  DailySales,200,14883,312,1
867,1 Users - Access -  DailySales,200,154553,867,0
647,1 Users - Access -  DailySales,200,99256,647,1
232,1 Users - Access -  DailySales,200,160,232,1
408,1 Users - Access -  DailySales,200,36517,408,1
252,1 Users - Access -  DailySales,200,404,252,0
598,1 Users - Access -  DailySales,200,83835,598,0
822,1 Users - Access -  DailySales,200,140709,821,0
693,1 Users - Access -  DailySales,200,106649,692,0
616,1 Users - Access -  DailySales,200,86389,616,0
599,1 Users - Access -  DailySales,200,86920,599,0
571,1 Users - Access -  DailySales,200,78549,571,0
394,1 Users - Access -  DailySales,200,31574,394,1
421,1 Users - Access -  DailySales,200,34700,420,1
252,1 Users - Access -  DailySales,200,160,252,1
599,1 Users - Access -  DailySales,200,81390,599,0
252,1 Users - Access -  DailySales,200,160,252,1
666,1 Users - Access -  DailySales,200,103815,666,1
584,1 Users - Access -  DailySales,200,78399,583,1
902,1 Users - Access -  DailySales,200,161205,901,0
492,1 Users - Access -  DailySales,200,52671,492,0
244,1 Users - Access -  DailySales,200,160,244,1
475,1 Users - Access -  DailySales,200,53055,475,0
409,1 Users - Access -  DailySales,200,37786,409,0
252,1 Users - Access -  DailySales,200,209,252,0
958,1 Users - Access -  DailySales,200,175535,957,0
411,1 Users - Access -  DailySales,200,38618,411,0
232,1 Users - Access -  DailySales,200,160,232,0
257,1 Users - Access -  DailySales,200,160,257,0
628,1 Users - Access -  DailySales,200,89962,627,0
236,1 Users - Access -  DailySales,200,160,236,1
299,1 Users - Access -  DailySales,200,12981,299,1
522,1 Users - Access -  DailySales,200,66608,521,1
613,1 Users - Access -  DailySales,200,86626,613,1
599,1 Users - Access -  DailySales,200,85990,599,0
478,1 Users - Access -  DailySales,200,52081,478,1
251,1 Users - Access -  DailySales,200,1627,251,0
315,1 Users - Access -  DailySales,200,14348,315,0
823,1 Users - Access -  DailySales,200,139436,823,1
235,1 Users - Access -  DailySales,200,160,235,1
697,1 Users - Access -  DailySales,200,104296,696,0
889,1 Users - Access -  DailySales,200,152988,888,1
708,1 Users - Access -  DailySales,200,108802,708,0
234,1 Users - Access -  DailySales,200,160,234,0
251,1 Users - Access -  DailySales,200,1189,251,1
381,1 Users - Access -  DailySales,200,27462,381,1
233,1 Users - Access -  DailySales,200,160,233,1
871,1 Users - Access -  DailySales,200,147501,870,1
666,1 Users - Access -  DailySales,200,96468,665,0
465,1 Users - Access -  DailySales,200,44291,465,1
435,1 Users - Access -  DailySales,200,35393,435,0
441,1 Users - Access -  DailySales,200,44496,441,0
413,1 Users - Access -  DailySales,200,32205,413,1
488,1 Users - Access -  DailySales,200,54522,488,0
243,1 Users - Access -  DailySales,200,160,243,0
468,1 Users - Access -  DailySales,200,51881,468,1
259,1 Users - Access -  DailySales,200,2020,259,1
530,1 Users - Access -  DailySales,200,66755,530,0
394,1 Users - Access -  DailySales,200,34219,394,0
235,1 Users - Access -  DailySales,200,160,235,0
615,1 Users - Access -  DailySales,200,86576,615,1
303,1 Users - Access -  DailySales,200,10820,303,0
251,1 Users - Access -  DailySales,200,827,251,0
235,1 Users - Access -  DailySales,200,160,235,1
523,1 Users - Access -  DailySales,200,62600,523,0
312,1 Users - Access -  DailySales,200,10483,312,0
728,1 Users - Access -  DailySales,200,114563,727,0
235,1 Users - Access -  DailySales,200,160,235,1
378,1 Users - Access -  DailySales,200,30688,378,1
569,1 Users - Access -  DailySales,200,71945,569,0
311,1 Users - Access -  DailySales,200,10338,311,0
681,1 Users - Access -  DailySales,200,102094,680,1
874,1 Users - Access -  DailySales,200,151521,873,1
694,1 Users - Access -  DailySales,200,101649,694,1
819,1 Users - Access -  DailySales,200,139828,819,0
585,1 Users - Access -  DailySales,200,79831,585,0
651,1 Users - Access -  DailySales,200,89158,651,0
290,1 Users - Access -  DailySales,200,160,290,0
438,1 Users - Access -  DailySales,200,34706,438,0
