elapsed,label,responseCode,bytes,Latency,Connect
408,3 Users - Access -  DailySales,200,37689,408,2
213,3 Users - Access -  DailySales,200,160,213,1
278,3 Users - Access -  DailySales,200,5688,278,0
850,3 Users - Access -  DailySales,200,174607,849,0
836,3 Users - Access -  DailySales,200,160,836,1
273,3 Users - Access -  DailySales,200,27655,273,0
293,3 Users - Access -  DailySales,200,1918,293,1
648,3 Users - Access -  DailySales,200,160,648,1
738,3 Users - Access -  DailySales,200,40927,738,0
784,3 Users - Access -  DailySales,200,57120,784,0
90,3 Users - Access -  DailySales,200,160,90,1
535,3 Users - Access -  DailySales,200,160,535,0
538,3 Users - Access -  DailySales,200,75223,538,0
751,3 Users - Access -  DailySales,200,160,751,0
1683,3 Users - Access -  DailySales,200,151472,1683,0
1235,3 Users - Access -  DailySales,200,104743,1234,1
1797,3 Users - Access -  DailySales,200,45324,1797,0
2286,3 Users - Access -  DailySales,200,168647,2285,0
1809,3 Users - Access -  DailySales,200,168990,1808,1
88,3 Users - Access -  DailySales,200,160,88,1
800,3 Users - Access -  DailySales,200,45964,800,0
802,3 Users - Access -  DailySales,200,3291,802,1
885,3 Users - Access -  DailySales,200,90554,884,1
490,3 Users - Access -  DailySales,200,73799,489,0
1940,3 Users - Access -  DailySales,200,40376,1940,0
1545,3 Users - Access -  DailySales,200,109681,1544,1
1949,3 Users - Access -  DailySales,200,174022,1948,0
1694,3 Users - Access -  DailySales,200,69097,1694,1
1703,3 Users - Access -  DailySales,200,125732,1702,1
1711,3 Users - Access -  DailySales,200,165665,1710,1
114,3 Users - Access -  DailySales,200,5250,114,1
177,3 Users - Access -  DailySales,200,160,177,0
244,3 Users - Access -  DailySales,200,160,244,0
509,3 Users - Access -  DailySales,200,65540,509,0
1100,3 Users - Access -  DailySales,200,160,1100,0
1477,3 Users - Access -  DailySales,200,30844,1477,0
1565,3 Users - Access -  DailySales,200,140357,1564,0
534,3 Users - Access -  DailySales,200,160,534,1
583,3 Users - Access -  DailySales,200,160,583,1
606,3 Users - Access -  DailySales,200,63876,606,0
280,3 Users - Access -  DailySales,200,26184,280,0
894,3 Users - Access -  DailySales,200,160,894,0
1040,3 Users - Access -  DailySales,200,59661,1039,1
1254,3 Users - Access -  DailySales,200,123919,1253,1
1299,3 Users - Access -  DailySales,200,160,1299,0
1657,3 Users - Access -  DailySales,200,120740,1656,1
1320,3 Users - Access -  DailySales,200,120497,1319,0
1869,3 Users - Access -  DailySales,200,105812,1868,1
1872,3 Users - Access -  DailySales,200,130138,1871,0
1861,3 Users - Access -  DailySales,200,135725,1859,1
724,3 Users - Access -  DailySales,200,160,724,0
728,3 Users - Access -  DailySales,200,7112,728,0
738,3 Users - Access -  DailySales,200,109486,737,1
468,3 Users - Access -  DailySales,200,160,468,1
580,3 Users - Access -  DailySales,200,11613,580,1
593,3 Users - Access -  DailySales,200,69690,593,1
1469,3 Users - Access -  DailySales,200,30845,1469,1
1476,3 Users - Access -  DailySales,200,100922,1476,0
1602,3 Users - Access -  DailySales,200,157781,1601,1
546,3 Users - Access -  DailySales,200,160,546,1
551,3 Users - Access -  DailySales,200,23501,551,1
635,3 Users - Access -  DailySales,200,51930,635,1
333,3 Users - Access -  DailySales,200,160,333,1
338,3 Users - Access -  DailySales,200,7261,338,1
704,3 Users - Access -  DailySales,200,83648,704,1
617,3 Users - Access -  DailySales,200,9407,617,0
886,3 Users - Access -  DailySales,200,160,886,0
794,3 Users - Access -  DailySales,200,160,794,0
1412,3 Users - Access -  DailySales,200,138410,1411,1
152,3 Users - Access -  DailySales,200,588,152,1
189,3 Users - Access -  DailySales,200,3878,189,1
1931,3 Users - Access -  DailySales,200,57652,1930,1
1752,3 Users - Access -  DailySales,200,118834,1752,1
1867,3 Users - Access -  DailySales,200,175772,1866,0
96,3 Users - Access -  DailySales,200,160,96,1
841,3 Users - Access -  DailySales,200,2507,841,0
934,3 Users - Access -  DailySales,200,53544,934,0
932,3 Users - Access -  DailySales,200,76803,932,0
1788,3 Users - Access -  DailySales,200,106991,1787,1
1789,3 Users - Access -  DailySales,200,125193,1788,1
1788,3 Users - Access -  DailySales,200,129355,1787,0
1010,3 Users - Access -  DailySales,200,160,1010,1
1015,3 Users - Access -  DailySales,200,22816,1015,1
1019,3 Users - Access -  DailySales,200,153623,1018,1
838,3 Users - Access -  DailySales,200,160,838,0
904,3 Users - Access -  DailySales,200,160,904,0
1477,3 Users - Access -  DailySales,200,160371,1477,0
1167,3 Users - Access -  DailySales,200,112273,1167,0
1098,3 Users - Access -  DailySales,200,107284,1098,1
616,3 Users - Access -  DailySales,200,206,616,0
2116,3 Users - Access -  DailySales,200,128817,2115,1
2122,3 Users - Access -  DailySales,200,173439,2121,0
2042,3 Users - Access -  DailySales,200,135920,2041,1
1128,3 Users - Access -  DailySales,200,66715,1128,1
1129,3 Users - Access -  DailySales,200,78763,1129,1
1125,3 Users - Access -  DailySales,200,60452,1125,1
92,3 Users - Access -  DailySales,200,160,92,1
452,3 Users - Access -  DailySales,200,160,452,0
455,3 Users - Access -  DailySales,200,49054,455,0
501,3 Users - Access -  DailySales,200,14987,501,1
948,3 Users - Access -  DailySales,200,160,948,0
1089,3 Users - Access -  DailySales,200,76691,1089,1
1096,3 Users - Access -  DailySales,200,95875,1095,1
108,3 Users - Access -  DailySales,200,1774,108,1
834,3 Users - Access -  DailySales,200,160,834,0
1405,3 Users - Access -  DailySales,200,142763,1404,1
1303,3 Users - Access -  DailySales,200,116878,1302,1
895,3 Users - Access -  DailySales,200,49883,895,1
1283,3 Users - Access -  DailySales,200,19049,1283,0
957,3 Users - Access -  DailySales,200,16749,957,0
1292,3 Users - Access -  DailySales,200,138410,1291,1
1502,3 Users - Access -  DailySales,200,12873,1502,0
1500,3 Users - Access -  DailySales,200,110368,1500,0
1513,3 Users - Access -  DailySales,200,177200,1512,1
391,3 Users - Access -  DailySales,200,66862,391,1
