elapsed,label,responseCode,bytes,Latency,Connect
210,1 Users - Access - ReorderSuggestions,200,52529,209,2
196,1 Users - Access - ReorderSuggestions,200,52529,196,0
208,1 Users - Access - ReorderSuggestions,200,52529,208,1
188,1 Users - Access - ReorderSuggestions,200,52529,188,1
197,1 Users - Access - ReorderSuggestions,200,52529,197,0
180,1 Users - Access - ReorderSuggestions,200,52529,180,1
192,1 Users - Access - ReorderSuggestions,200,52529,192,1
188,1 Users - Access - ReorderSuggestions,200,52529,188,0
171,1 Users - Access - ReorderSuggestions,200,52529,171,1
193,1 Users - Access - ReorderSuggestions,200,52529,193,1
182,1 Users - Access - ReorderSuggestions,200,52529,182,1
190,1 Users - Access - ReorderSuggestions,200,52529,190,0
186,1 Users - Access - ReorderSuggestions,200,52529,185,0
190,1 Users - Access - ReorderSuggestions,200,52529,190,0
187,1 Users - Access - ReorderSuggestions,200,52529,187,0
185,1 Users - Access - ReorderSuggestions,200,52529,185,0
193,1 Users - Access - ReorderSuggestions,200,52529,193,1
184,1 Users - Access - ReorderSuggestions,200,52529,184,0
190,1 Users - Access - ReorderSuggestions,200,52529,190,1
195,1 Users - Access - ReorderSuggestions,200,52529,195,1
201,1 Users - Access - ReorderSuggestions,200,52529,201,0
184,1 Users - Access - ReorderSuggestions,200,52529,184,0
188,1 Users - Access - ReorderSuggestions,200,52529,188,0
175,1 Users - Access - ReorderSuggestions,200,52529,175,1
191,1 Users - Access - ReorderSuggestions,200,52529,191,0
187,1 Users - Access - ReorderSuggestions,200,52529,187,0
190,1 Users - Access - ReorderSuggestions,200,52529,190,0
188,1 Users - Access - ReorderSuggestions,200,52529,188,0
188,1 Users - Access - ReorderSuggestions,200,52529,188,1
210,1 Users - Access - ReorderSuggestions,200,52529,210,0
187,1 Users - Access - ReorderSuggestions,200,52529,187,1
203,1 Users - Access - ReorderSuggestions,200,52529,203,0
174,1 Users - Access - ReorderSuggestions,200,52529,174,1
174,1 Users - Access - ReorderSuggestions,200,52529,174,0
189,1 Users - Access - ReorderSuggestions,200,52529,189,0
182,1 Users - Access - ReorderSuggestions,200,52529,181,1
176,1 Users - Access - ReorderSuggestions,200,52529,176,0
185,1 Users - Access - ReorderSuggestions,200,52529,185,0
190,1 Users - Access - ReorderSuggestions,200,52529,190,0
188,1 Users - Access - ReorderSuggestions,200,52529,187,0
185,1 Users - Access - ReorderSuggestions,200,52529,185,0
170,1 Users - Access - ReorderSuggestions,200,52529,170,0
176,1 Users - Access - ReorderSuggestions,200,52529,176,1
172,1 Users - Access - ReorderSuggestions,200,52529,172,0
172,1 Users - Access - ReorderSuggestions,200,52529,172,0
191,1 Users - Access - ReorderSuggestions,200,52529,190,1
171,1 Users - Access - ReorderSuggestions,200,52529,171,0
194,1 Users - Access - ReorderSuggestions,200,52529,194,0
183,1 Users - Access - ReorderSuggestions,200,52529,182,1
188,1 Users - Access - ReorderSuggestions,200,52529,188,0
171,1 Users - Access - ReorderSuggestions,200,52529,171,0
173,1 Users - Access - ReorderSuggestions,200,52529,172,0
190,1 Users - Access - ReorderSuggestions,200,52529,190,0
185,1 Users - Access - ReorderSuggestions,200,52529,185,0
174,1 Users - Access - ReorderSuggestions,200,52529,174,0
174,1 Users - Access - ReorderSuggestions,200,52529,174,0
172,1 Users - Access - ReorderSuggestions,200,52529,172,1
173,1 Users - Access - ReorderSuggestions,200,52529,173,1
189,1 Users - Access - ReorderSuggestions,200,52529,189,0
199,1 Users - Access - ReorderSuggestions,200,52529,199,1
198,1 Users - Access - ReorderSuggestions,200,52529,198,1
202,1 Users - Access - ReorderSuggestions,200,52529,202,1
174,1 Users - Access - ReorderSuggestions,200,52529,174,1
188,1 Users - Access - ReorderSuggestions,200,52529,188,0
172,1 Users - Access - ReorderSuggestions,200,52529,172,1
173,1 Users - Access - ReorderSuggestions,200,52529,173,0
176,1 Users - Access - ReorderSuggestions,200,52529,176,0
187,1 Users - Access - ReorderSuggestions,200,52529,187,0
188,1 Users - Access - ReorderSuggestions,200,52529,188,0
173,1 Users - Access - ReorderSuggestions,200,52529,173,0
192,1 Users - Access - ReorderSuggestions,200,52529,192,1
180,1 Users - Access - ReorderSuggestions,200,52529,180,0
174,1 Users - Access - ReorderSuggestions,200,52529,174,1
174,1 Users - Access - ReorderSuggestions,200,52529,174,0
186,1 Users - Access - ReorderSuggestions,200,52529,186,1
187,1 Users - Access - ReorderSuggestions,200,52529,187,0
188,1 Users - Access - ReorderSuggestions,200,52529,188,1
187,1 Users - Access - ReorderSuggestions,200,52529,187,0
176,1 Users - Access - ReorderSuggestions,200,52529,176,1
172,1 Users - Access - ReorderSuggestions,200,52529,172,1
176,1 Users - Access - ReorderSuggestions,200,52529,176,0
187,1 Users - Access - ReorderSuggestions,200,52529,187,0
173,1 Users - Access - ReorderSuggestions,200,52529,173,0
177,1 Users - Access - ReorderSuggestions,200,52529,177,0
181,1 Users - Access - ReorderSuggestions,200,52529,181,0
174,1 Users - Access - ReorderSuggestions,200,52529,174,0
184,1 Users - Access - ReorderSuggestions,200,52529,184,1
189,1 Users - Access - ReorderSuggestions,200,52529,189,1
174,1 Users - Access - ReorderSuggestions,200,52529,174,0
188,1 Users - Access - ReorderSuggestions,200,52529,188,1
188,1 Users - Access - ReorderSuggestions,200,52529,188,1
189,1 Users - Access - ReorderSuggestions,200,52529,189,0
188,1 Users - Access - ReorderSuggestions,200,52529,188,0
188,1 Users - Access - ReorderSuggestions,200,52529,188,0
191,1 Users - Access - ReorderSuggestions,200,52529,191,1
172,1 Users - Access - ReorderSuggestions,200,52529,172,0
185,1 Users - Access - ReorderSuggestions,200,52529,185,0
194,1 Users - Access - ReorderSuggestions,200,52529,194,0
183,1 Users - Access - ReorderSuggestions,200,52529,183,1
173,1 Users - Access - ReorderSuggestions,200,52529,173,0
