elapsed,label,responseCode,bytes,Latency,Connect
978,1 Users - Access -  TopProducts,200,1283,978,2
473,1 Users - Access -  TopProducts,200,1327,473,1
809,1 Users - Access -  TopProducts,200,1343,809,1
649,1 Users - Access -  TopProducts,200,1245,649,1
510,1 Users - Access -  TopProducts,200,1296,510,1
487,1 Users - Access -  TopProducts,200,160,487,1
531,1 Users - Access -  TopProducts,200,1300,531,0
483,1 Users - Access -  TopProducts,200,160,483,1
1038,1 Users - Access -  TopProducts,200,1346,1038,1
680,1 Users - Access -  TopProducts,200,1341,680,1
