elapsed,label,responseCode,bytes,Latency,Connect
738,1 Users - Access -  TopProducts,200,1309,738,1
521,1 Users - Access -  TopProducts,200,1338,521,0
805,1 Users - Access -  TopProducts,200,1283,805,1
774,1 Users - Access -  TopProducts,200,1288,774,1
605,1 Users - Access -  TopProducts,200,1392,605,1
315,1 Users - Access -  TopProducts,200,1336,315,1
551,1 Users - Access -  TopProducts,200,1379,551,0
599,1 Users - Access -  TopProducts,200,1328,599,0
284,1 Users - Access -  TopProducts,200,1370,284,0
629,1 Users - Access -  TopProducts,200,1311,629,0
379,1 Users - Access -  TopProducts,200,1302,379,0
267,1 Users - Access -  TopProducts,200,1241,267,0
645,1 Users - Access -  TopProducts,200,1317,645,1
820,1 Users - Access -  TopProducts,200,1346,820,0
267,1 Users - Access -  TopProducts,200,160,267,1
791,1 Users - Access -  TopProducts,200,1347,791,0
762,1 Users - Access -  TopProducts,200,1283,762,1
633,1 Users - Access -  TopProducts,200,1324,633,0
262,1 Users - Access -  TopProducts,200,160,262,1
651,1 Users - Access -  TopProducts,200,1305,651,0
392,1 Users - Access -  TopProducts,200,1382,392,0
756,1 Users - Access -  TopProducts,200,1283,756,1
409,1 Users - Access -  TopProducts,200,1317,409,0
503,1 Users - Access -  TopProducts,200,1358,503,1
316,1 Users - Access -  TopProducts,200,1301,316,1
505,1 Users - Access -  TopProducts,200,1329,505,0
790,1 Users - Access -  TopProducts,200,1287,790,1
694,1 Users - Access -  TopProducts,200,1300,694,1
411,1 Users - Access -  TopProducts,200,1278,411,0
457,1 Users - Access -  TopProducts,200,1327,457,0
517,1 Users - Access -  TopProducts,200,1351,517,0
827,1 Users - Access -  TopProducts,200,1346,827,0
771,1 Users - Access -  TopProducts,200,1279,771,0
426,1 Users - Access -  TopProducts,200,1348,426,0
364,1 Users - Access -  TopProducts,200,1315,364,0
360,1 Users - Access -  TopProducts,200,1361,360,0
713,1 Users - Access -  TopProducts,200,1299,713,0
353,1 Users - Access -  TopProducts,200,1338,353,1
293,1 Users - Access -  TopProducts,200,160,293,0
291,1 Users - Access -  TopProducts,200,1340,291,1
269,1 Users - Access -  TopProducts,200,160,269,0
757,1 Users - Access -  TopProducts,200,1284,757,1
586,1 Users - Access -  TopProducts,200,1304,586,0
266,1 Users - Access -  TopProducts,200,160,266,1
603,1 Users - Access -  TopProducts,200,1381,603,0
455,1 Users - Access -  TopProducts,200,1321,455,1
738,1 Users - Access -  TopProducts,200,1376,738,1
852,1 Users - Access -  TopProducts,200,1298,852,1
692,1 Users - Access -  TopProducts,200,1353,692,1
632,1 Users - Access -  TopProducts,200,1381,632,0
679,1 Users - Access -  TopProducts,200,1369,679,1
743,1 Users - Access -  TopProducts,200,1316,743,1
345,1 Users - Access -  TopProducts,200,1268,345,0
488,1 Users - Access -  TopProducts,200,1308,488,0
744,1 Users - Access -  TopProducts,200,1295,744,1
804,1 Users - Access -  TopProducts,200,1393,804,0
441,1 Users - Access -  TopProducts,200,1308,441,0
267,1 Users - Access -  TopProducts,200,160,267,1
262,1 Users - Access -  TopProducts,200,160,262,0
346,1 Users - Access -  TopProducts,200,1347,346,0
269,1 Users - Access -  TopProducts,200,160,269,0
329,1 Users - Access -  TopProducts,200,1319,329,0
630,1 Users - Access -  TopProducts,200,1315,630,0
523,1 Users - Access -  TopProducts,200,1364,523,1
362,1 Users - Access -  TopProducts,200,1300,362,1
774,1 Users - Access -  TopProducts,200,1283,774,1
808,1 Users - Access -  TopProducts,200,1283,808,0
298,1 Users - Access -  TopProducts,200,1371,298,0
344,1 Users - Access -  TopProducts,200,1385,344,0
697,1 Users - Access -  TopProducts,200,1332,697,1
570,1 Users - Access -  TopProducts,200,1378,570,0
662,1 Users - Access -  TopProducts,200,1383,662,0
716,1 Users - Access -  TopProducts,200,1316,716,0
950,1 Users - Access -  TopProducts,200,1286,950,0
1007,1 Users - Access -  TopProducts,200,1299,1007,0
472,1 Users - Access -  TopProducts,200,1302,472,1
299,1 Users - Access -  TopProducts,200,160,299,0
677,1 Users - Access -  TopProducts,200,1386,677,0
432,1 Users - Access -  TopProducts,200,1332,432,0
792,1 Users - Access -  TopProducts,200,1347,792,1
916,1 Users - Access -  TopProducts,200,1258,916,0
1124,1 Users - Access -  TopProducts,200,1314,1124,1
666,1 Users - Access -  TopProducts,200,1343,666,0
1049,1 Users - Access -  TopProducts,200,1295,1049,1
413,1 Users - Access -  TopProducts,200,1278,413,0
505,1 Users - Access -  TopProducts,200,1281,505,0
1012,1 Users - Access -  TopProducts,200,1296,1012,1
934,1 Users - Access -  TopProducts,200,1234,934,0
301,1 Users - Access -  TopProducts,200,160,301,1
1174,1 Users - Access -  TopProducts,200,1288,1174,1
300,1 Users - Access -  TopProducts,200,160,300,1
774,1 Users - Access -  TopProducts,200,1379,774,1
311,1 Users - Access -  TopProducts,200,160,311,0
303,1 Users - Access -  TopProducts,200,160,303,0
935,1 Users - Access -  TopProducts,200,1370,935,0
717,1 Users - Access -  TopProducts,200,1275,717,0
550,1 Users - Access -  TopProducts,200,1292,550,0
824,1 Users - Access -  TopProducts,200,1394,824,0
303,1 Users - Access -  TopProducts,200,160,302,1
441,1 Users - Access -  TopProducts,200,1282,441,0
