elapsed,label,responseCode,bytes,Latency,Connect
360,1 Users - MongoDb -  DailySales,200,160,360,1
297,1 Users - MongoDb -  DailySales,200,160,297,0
293,1 Users - MongoDb -  DailySales,200,160,293,0
335,1 Users - MongoDb -  DailySales,200,160,335,0
292,1 Users - MongoDb -  DailySales,200,160,292,1
288,1 Users - MongoDb -  DailySales,200,160,288,1
311,1 Users - MongoDb -  DailySales,200,160,311,1
296,1 Users - MongoDb -  DailySales,200,160,296,0
292,1 Users - MongoDb -  DailySales,200,160,292,0
306,1 Users - MongoDb -  DailySales,200,160,306,0
339,1 Users - MongoDb -  DailySales,200,160,339,1
297,1 Users - MongoDb -  DailySales,200,160,297,1
288,1 Users - MongoDb -  DailySales,200,160,288,0
293,1 Users - MongoDb -  DailySales,200,160,293,1
294,1 Users - MongoDb -  DailySales,200,160,294,1
290,1 Users - MongoDb -  DailySales,200,160,290,1
293,1 Users - MongoDb -  DailySales,200,160,293,0
289,1 Users - MongoDb -  DailySales,200,160,289,0
293,1 Users - MongoDb -  DailySales,200,160,293,0
291,1 Users - MongoDb -  DailySales,200,160,291,0
300,1 Users - MongoDb -  DailySales,200,160,300,1
290,1 Users - MongoDb -  DailySales,200,160,290,1
292,1 Users - MongoDb -  DailySales,200,160,291,1
288,1 Users - MongoDb -  DailySales,200,160,288,0
292,1 Users - MongoDb -  DailySales,200,160,292,1
292,1 Users - MongoDb -  DailySales,200,160,292,1
287,1 Users - MongoDb -  DailySales,200,160,287,1
295,1 Users - MongoDb -  DailySales,200,160,295,1
289,1 Users - MongoDb -  DailySales,200,160,289,1
291,1 Users - MongoDb -  DailySales,200,160,291,1
290,1 Users - MongoDb -  DailySales,200,160,290,0
294,1 Users - MongoDb -  DailySales,200,160,294,0
296,1 Users - MongoDb -  DailySales,200,160,296,0
287,1 Users - MongoDb -  DailySales,200,160,287,0
294,1 Users - MongoDb -  DailySales,200,160,294,1
299,1 Users - MongoDb -  DailySales,200,160,299,0
292,1 Users - MongoDb -  DailySales,200,160,292,0
290,1 Users - MongoDb -  DailySales,200,160,290,1
468,1 Users - MongoDb -  DailySales,200,160,468,1
488,1 Users - MongoDb -  DailySales,200,7865,487,1
309,1 Users - MongoDb -  DailySales,200,160,309,0
288,1 Users - MongoDb -  DailySales,200,160,288,0
312,1 Users - MongoDb -  DailySales,200,160,312,1
295,1 Users - MongoDb -  DailySales,200,160,295,0
286,1 Users - MongoDb -  DailySales,200,160,286,1
293,1 Users - MongoDb -  DailySales,200,160,293,0
290,1 Users - MongoDb -  DailySales,200,160,290,1
296,1 Users - MongoDb -  DailySales,200,160,296,0
287,1 Users - MongoDb -  DailySales,200,160,287,1
290,1 Users - MongoDb -  DailySales,200,160,290,1
494,1 Users - MongoDb -  DailySales,200,160,494,1
516,1 Users - MongoDb -  DailySales,200,160,516,0
513,1 Users - MongoDb -  DailySales,200,160,513,1
543,1 Users - MongoDb -  DailySales,200,160,543,1
497,1 Users - MongoDb -  DailySales,200,160,497,0
396,1 Users - MongoDb -  DailySales,200,160,396,0
294,1 Users - MongoDb -  DailySales,200,160,294,1
296,1 Users - MongoDb -  DailySales,200,160,296,1
376,1 Users - MongoDb -  DailySales,200,160,376,0
412,1 Users - MongoDb -  DailySales,200,160,412,1
293,1 Users - MongoDb -  DailySales,200,160,293,0
300,1 Users - MongoDb -  DailySales,200,160,300,0
297,1 Users - MongoDb -  DailySales,200,160,297,0
300,1 Users - MongoDb -  DailySales,200,160,300,0
288,1 Users - MongoDb -  DailySales,200,160,288,0
291,1 Users - MongoDb -  DailySales,200,160,291,1
298,1 Users - MongoDb -  DailySales,200,160,298,0
289,1 Users - MongoDb -  DailySales,200,160,289,1
290,1 Users - MongoDb -  DailySales,200,160,290,1
290,1 Users - MongoDb -  DailySales,200,160,290,0
298,1 Users - MongoDb -  DailySales,200,160,298,1
288,1 Users - MongoDb -  DailySales,200,160,288,1
293,1 Users - MongoDb -  DailySales,200,160,293,0
295,1 Users - MongoDb -  DailySales,200,160,295,0
293,1 Users - MongoDb -  DailySales,200,160,293,1
295,1 Users - MongoDb -  DailySales,200,160,295,0
290,1 Users - MongoDb -  DailySales,200,160,290,1
297,1 Users - MongoDb -  DailySales,200,160,297,1
283,1 Users - MongoDb -  DailySales,200,160,283,0
634,1 Users - MongoDb -  DailySales,200,14303,634,0
291,1 Users - MongoDb -  DailySales,200,160,291,1
291,1 Users - MongoDb -  DailySales,200,160,291,0
298,1 Users - MongoDb -  DailySales,200,160,298,1
295,1 Users - MongoDb -  DailySales,200,160,295,1
350,1 Users - MongoDb -  DailySales,200,2666,350,0
291,1 Users - MongoDb -  DailySales,200,160,291,1
297,1 Users - MongoDb -  DailySales,200,160,297,1
289,1 Users - MongoDb -  DailySales,200,160,289,1
382,1 Users - MongoDb -  DailySales,200,3523,382,0
291,1 Users - MongoDb -  DailySales,200,160,291,1
291,1 Users - MongoDb -  DailySales,200,160,291,1
287,1 Users - MongoDb -  DailySales,200,160,287,1
295,1 Users - MongoDb -  DailySales,200,160,295,1
291,1 Users - MongoDb -  DailySales,200,160,291,0
290,1 Users - MongoDb -  DailySales,200,160,290,1
291,1 Users - MongoDb -  DailySales,200,160,291,0
292,1 Users - MongoDb -  DailySales,200,160,292,1
290,1 Users - MongoDb -  DailySales,200,160,290,0
292,1 Users - MongoDb -  DailySales,200,160,292,0
293,1 Users - MongoDb -  DailySales,200,160,293,1
