elapsed,label,responseCode,bytes,Latency,Connect
363,1 Users - SqlServer -  DailySales,200,5013,363,2
410,1 Users - SqlServer -  DailySales,200,20463,410,1
2,1 Users - SqlServer -  DailySales,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,2631,0,2
457,1 Users - SqlServer -  DailySales,200,62871,456,2
389,1 Users - SqlServer -  DailySales,200,26015,389,1
601,1 Users - SqlServer -  DailySales,200,156899,596,2
292,1 Users - SqlServer -  DailySales,200,160,291,2
377,1 Users - SqlServer -  DailySales,200,23125,377,2
430,1 Users - SqlServer -  DailySales,200,52836,429,2
572,1 Users - SqlServer -  DailySales,200,152220,567,1
