elapsed,label,responseCode,bytes,Latency,Connect
87,1 Users - SqlServer -  DailySales,200,4518,87,1
336,1 Users - SqlServer -  DailySales,200,170119,333,0
15,1 Users - SqlServer -  DailySales,200,160,15,1
217,1 Users - SqlServer -  DailySales,200,66270,216,0
15,1 Users - SqlServer -  DailySales,200,160,15,1
15,1 Users - SqlServer -  DailySales,200,160,15,1
175,1 Users - SqlServer -  DailySales,200,74501,174,0
347,1 Users - SqlServer -  DailySales,200,169218,346,0
15,1 Users - SqlServer -  DailySales,200,160,15,1
348,1 Users - SqlServer -  DailySales,200,170221,347,0
310,1 Users - SqlServer -  DailySales,200,171759,309,1
196,1 Users - SqlServer -  DailySales,200,92572,195,0
133,1 Users - SqlServer -  DailySales,200,47334,132,0
172,1 Users - SqlServer -  DailySales,200,76883,172,1
23,1 Users - SqlServer -  DailySales,200,160,23,0
267,1 Users - SqlServer -  DailySales,200,111664,266,0
15,1 Users - SqlServer -  DailySales,200,160,15,1
14,1 Users - SqlServer -  DailySales,200,160,14,0
196,1 Users - SqlServer -  DailySales,200,89239,195,1
158,1 Users - SqlServer -  DailySales,200,56671,158,0
15,1 Users - SqlServer -  DailySales,200,160,15,1
142,1 Users - SqlServer -  DailySales,200,52514,142,1
312,1 Users - SqlServer -  DailySales,200,182845,310,0
97,1 Users - SqlServer -  DailySales,200,23352,97,0
128,1 Users - SqlServer -  DailySales,200,38957,127,0
274,1 Users - SqlServer -  DailySales,200,130542,273,0
114,1 Users - SqlServer -  DailySales,200,12623,114,0
390,1 Users - SqlServer -  DailySales,200,182928,388,1
386,1 Users - SqlServer -  DailySales,200,167628,385,1
74,1 Users - SqlServer -  DailySales,200,1157,74,0
257,1 Users - SqlServer -  DailySales,200,78566,257,1
83,1 Users - SqlServer -  DailySales,200,551,83,0
22,1 Users - SqlServer -  DailySales,200,160,22,1
138,1 Users - SqlServer -  DailySales,200,22882,138,1
126,1 Users - SqlServer -  DailySales,200,39712,126,0
448,1 Users - SqlServer -  DailySales,200,150741,447,0
260,1 Users - SqlServer -  DailySales,200,64491,260,1
487,1 Users - SqlServer -  DailySales,200,166824,486,0
93,1 Users - SqlServer -  DailySales,200,11195,93,0
308,1 Users - SqlServer -  DailySales,200,93133,308,0
312,1 Users - SqlServer -  DailySales,200,106199,312,0
201,1 Users - SqlServer -  DailySales,200,60232,200,0
252,1 Users - SqlServer -  DailySales,200,105682,251,1
15,1 Users - SqlServer -  DailySales,200,160,15,1
76,1 Users - SqlServer -  DailySales,200,7541,76,1
15,1 Users - SqlServer -  DailySales,200,160,15,1
148,1 Users - SqlServer -  DailySales,200,19305,148,0
143,1 Users - SqlServer -  DailySales,200,45291,143,0
189,1 Users - SqlServer -  DailySales,200,49616,189,1
208,1 Users - SqlServer -  DailySales,200,82056,208,1
22,1 Users - SqlServer -  DailySales,200,160,22,0
20,1 Users - SqlServer -  DailySales,200,160,20,0
121,1 Users - SqlServer -  DailySales,200,1157,121,1
19,1 Users - SqlServer -  DailySales,200,160,19,1
18,1 Users - SqlServer -  DailySales,200,160,18,0
326,1 Users - SqlServer -  DailySales,200,116473,325,1
163,1 Users - SqlServer -  DailySales,200,61839,162,0
182,1 Users - SqlServer -  DailySales,200,83036,182,1
155,1 Users - SqlServer -  DailySales,200,61807,154,0
15,1 Users - SqlServer -  DailySales,200,160,15,1
446,1 Users - SqlServer -  DailySales,200,146779,445,0
124,1 Users - SqlServer -  DailySales,200,24892,124,0
84,1 Users - SqlServer -  DailySales,200,12902,84,1
324,1 Users - SqlServer -  DailySales,200,184690,323,0
144,1 Users - SqlServer -  DailySales,200,49560,144,0
365,1 Users - SqlServer -  DailySales,200,109536,364,0
339,1 Users - SqlServer -  DailySales,200,191649,338,0
14,1 Users - SqlServer -  DailySales,200,160,14,0
14,1 Users - SqlServer -  DailySales,200,160,14,0
313,1 Users - SqlServer -  DailySales,200,164236,312,0
236,1 Users - SqlServer -  DailySales,200,116017,235,1
273,1 Users - SqlServer -  DailySales,200,146553,272,0
133,1 Users - SqlServer -  DailySales,200,47972,132,0
149,1 Users - SqlServer -  DailySales,200,58113,148,0
218,1 Users - SqlServer -  DailySales,200,98589,218,1
14,1 Users - SqlServer -  DailySales,200,160,14,0
132,1 Users - SqlServer -  DailySales,200,40949,132,0
115,1 Users - SqlServer -  DailySales,200,35300,115,0
80,1 Users - SqlServer -  DailySales,200,11751,80,0
330,1 Users - SqlServer -  DailySales,200,186845,329,0
115,1 Users - SqlServer -  DailySales,200,35024,115,0
174,1 Users - SqlServer -  DailySales,200,73109,174,1
240,1 Users - SqlServer -  DailySales,200,119604,240,0
142,1 Users - SqlServer -  DailySales,200,52784,141,0
116,1 Users - SqlServer -  DailySales,200,33921,116,0
14,1 Users - SqlServer -  DailySales,200,160,14,0
263,1 Users - SqlServer -  DailySales,200,141154,262,1
14,1 Users - SqlServer -  DailySales,200,160,14,1
14,1 Users - SqlServer -  DailySales,200,160,14,0
314,1 Users - SqlServer -  DailySales,200,172149,313,1
70,1 Users - SqlServer -  DailySales,200,4141,70,1
126,1 Users - SqlServer -  DailySales,200,41764,126,1
15,1 Users - SqlServer -  DailySales,200,160,15,1
225,1 Users - SqlServer -  DailySales,200,109640,224,1
62,1 Users - SqlServer -  DailySales,200,694,62,1
150,1 Users - SqlServer -  DailySales,200,60837,150,0
227,1 Users - SqlServer -  DailySales,200,113418,226,0
258,1 Users - SqlServer -  DailySales,200,135909,257,1
145,1 Users - SqlServer -  DailySales,200,56090,145,0
267,1 Users - SqlServer -  DailySales,200,144496,266,0
