elapsed,label,responseCode,bytes,Latency,Connect
38,5 Users - SqlServer -  DailySales,200,160,38,2
104,5 Users - SqlServer -  DailySales,200,9914,104,1
300,5 Users - SqlServer -  DailySales,200,42824,300,2
416,5 Users - SqlServer -  DailySales,200,78612,416,2
299,5 Users - SqlServer -  DailySales,200,87895,298,1
446,5 Users - SqlServer -  DailySales,200,109217,445,2
24,5 Users - SqlServer -  DailySales,200,160,24,0
487,5 Users - SqlServer -  DailySales,200,109135,486,2
26,5 Users - SqlServer -  DailySales,200,160,26,0
103,5 Users - SqlServer -  DailySales,200,6064,103,1
250,5 Users - SqlServer -  DailySales,200,36518,249,1
432,5 Users - SqlServer -  DailySales,200,91621,431,0
18,5 Users - SqlServer -  DailySales,200,160,18,1
633,5 Users - SqlServer -  DailySales,200,154545,632,1
574,5 Users - SqlServer -  DailySales,200,190416,572,0
162,5 Users - SqlServer -  DailySales,200,6989,162,0
409,5 Users - SqlServer -  DailySales,200,82865,408,1
587,5 Users - SqlServer -  DailySales,200,185123,586,0
174,5 Users - SqlServer -  DailySales,200,12616,174,1
463,5 Users - SqlServer -  DailySales,200,162173,462,1
21,5 Users - SqlServer -  DailySales,200,160,21,0
184,5 Users - SqlServer -  DailySales,200,42257,183,0
302,5 Users - SqlServer -  DailySales,200,53847,302,1
86,5 Users - SqlServer -  DailySales,200,7739,86,0
524,5 Users - SqlServer -  DailySales,200,177802,522,0
28,5 Users - SqlServer -  DailySales,200,160,28,0
87,5 Users - SqlServer -  DailySales,200,1205,87,1
28,5 Users - SqlServer -  DailySales,200,160,28,0
389,5 Users - SqlServer -  DailySales,200,128309,388,1
214,5 Users - SqlServer -  DailySales,200,58026,214,1
496,5 Users - SqlServer -  DailySales,200,110868,495,0
92,5 Users - SqlServer -  DailySales,200,1043,92,0
539,5 Users - SqlServer -  DailySales,200,142218,538,0
26,5 Users - SqlServer -  DailySales,200,160,26,1
29,5 Users - SqlServer -  DailySales,200,160,29,0
21,5 Users - SqlServer -  DailySales,200,160,21,0
242,5 Users - SqlServer -  DailySales,200,42372,241,0
211,5 Users - SqlServer -  DailySales,200,45881,211,0
349,5 Users - SqlServer -  DailySales,200,100181,348,0
