elapsed,label,responseCode,bytes,Latency,Connect
18,1 Users - SqlServer -  GetOrdersByCustomer,200,1641,18,1
11,1 Users - SqlServer -  GetOrdersByCustomer,200,1620,11,1
11,1 Users - SqlServer -  GetOrdersByCustomer,200,1579,11,1
8,1 Users - SqlServer -  GetOrdersByCustomer,200,1660,8,0
9,1 Users - SqlServer -  GetOrdersByCustomer,200,1909,9,1
7,1 Users - SqlServer -  GetOrdersByCustomer,200,1440,7,0
8,1 Users - SqlServer -  GetOrdersByCustomer,200,1762,8,0
9,1 Users - SqlServer -  GetOrdersByCustomer,200,1519,9,1
7,1 Users - SqlServer -  GetOrdersByCustomer,200,1648,7,0
8,1 Users - SqlServer -  GetOrdersByCustomer,200,1759,8,1
7,1 Users - SqlServer -  GetOrdersByCustomer,200,1798,7,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1496,6,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1283,6,1
8,1 Users - SqlServer -  GetOrdersByCustomer,200,1878,8,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1374,6,0
8,1 Users - SqlServer -  GetOrdersByCustomer,200,1942,8,1
7,1 Users - SqlServer -  GetOrdersByCustomer,200,1588,7,0
4,1 Users - SqlServer -  GetOrdersByCustomer,200,1095,4,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1597,6,1
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1343,6,1
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1816,6,0
7,1 Users - SqlServer -  GetOrdersByCustomer,200,1808,7,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1742,6,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1598,6,0
7,1 Users - SqlServer -  GetOrdersByCustomer,200,1966,7,1
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1570,6,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1794,6,1
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1569,6,1
9,1 Users - SqlServer -  GetOrdersByCustomer,200,2565,9,0
7,1 Users - SqlServer -  GetOrdersByCustomer,200,1725,7,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1198,5,0
4,1 Users - SqlServer -  GetOrdersByCustomer,200,1195,4,0
8,1 Users - SqlServer -  GetOrdersByCustomer,200,1815,8,1
6,1 Users - SqlServer -  GetOrdersByCustomer,200,2060,6,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1869,6,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1633,4,0
7,1 Users - SqlServer -  GetOrdersByCustomer,200,2340,7,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1673,5,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1835,6,1
4,1 Users - SqlServer -  GetOrdersByCustomer,200,1580,4,0
4,1 Users - SqlServer -  GetOrdersByCustomer,200,1447,4,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1919,5,1
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1881,5,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1910,5,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1939,5,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,2010,6,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,2186,5,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1412,5,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1888,5,0
4,1 Users - SqlServer -  GetOrdersByCustomer,200,1558,4,0
7,1 Users - SqlServer -  GetOrdersByCustomer,200,2124,7,1
7,1 Users - SqlServer -  GetOrdersByCustomer,200,1809,7,1
7,1 Users - SqlServer -  GetOrdersByCustomer,200,2149,7,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1498,5,1
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1511,5,1
7,1 Users - SqlServer -  GetOrdersByCustomer,200,1663,7,1
4,1 Users - SqlServer -  GetOrdersByCustomer,200,1441,4,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1818,5,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1596,5,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,2115,6,1
7,1 Users - SqlServer -  GetOrdersByCustomer,200,1803,7,1
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1874,6,0
8,1 Users - SqlServer -  GetOrdersByCustomer,200,2287,8,1
7,1 Users - SqlServer -  GetOrdersByCustomer,200,1653,7,1
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1687,5,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1331,5,1
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1742,6,0
8,1 Users - SqlServer -  GetOrdersByCustomer,200,2022,8,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1671,5,0
4,1 Users - SqlServer -  GetOrdersByCustomer,200,1197,4,1
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1867,5,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1740,6,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1947,5,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,1804,6,1
6,1 Users - SqlServer -  GetOrdersByCustomer,200,2142,6,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,1858,5,1
3,1 Users - SqlServer -  GetOrdersByCustomer,200,1174,3,0
5,1 Users - SqlServer -  GetOrdersByCustomer,200,2057,5,1
5,1 Users - SqlServer -  GetOrdersByCustomer,200,2705,5,0
3,1 Users - SqlServer -  GetOrdersByCustomer,200,1597,3,0
4,1 Users - SqlServer -  GetOrdersByCustomer,200,1822,4,1
4,1 Users - SqlServer -  GetOrdersByCustomer,200,1738,4,0
3,1 Users - SqlServer -  GetOrdersByCustomer,200,1247,3,0
4,1 Users - SqlServer -  GetOrdersByCustomer,200,1797,3,0
4,1 Users - SqlServer -  GetOrdersByCustomer,200,1475,4,0
3,1 Users - SqlServer -  GetOrdersByCustomer,200,1957,3,0
4,1 Users - SqlServer -  GetOrdersByCustomer,200,1748,4,0
3,1 Users - SqlServer -  GetOrdersByCustomer,200,1956,3,0
2,1 Users - SqlServer -  GetOrdersByCustomer,200,1261,2,0
3,1 Users - SqlServer -  GetOrdersByCustomer,200,1290,3,0
3,1 Users - SqlServer -  GetOrdersByCustomer,200,1321,3,0
4,1 Users - SqlServer -  GetOrdersByCustomer,200,1656,4,0
6,1 Users - SqlServer -  GetOrdersByCustomer,200,2072,6,0
4,1 Users - SqlServer -  GetOrdersByCustomer,200,2241,4,0
4,1 Users - SqlServer -  GetOrdersByCustomer,200,2266,4,0
3,1 Users - SqlServer -  GetOrdersByCustomer,200,1426,3,0
3,1 Users - SqlServer -  GetOrdersByCustomer,200,1402,3,0
3,1 Users - SqlServer -  GetOrdersByCustomer,200,1813,3,0
3,1 Users - SqlServer -  GetOrdersByCustomer,200,1242,3,0
3,1 Users - SqlServer -  GetOrdersByCustomer,200,1481,3,0
