elapsed,label,responseCode,bytes,Latency,Connect
10,5 Users - SqlServer -  GetOrdersByCustomer,200,2069,10,1
14,5 Users - SqlServer -  GetOrdersByCustomer,200,1487,14,1
14,5 Users - SqlServer -  GetOrdersByCustomer,200,2064,14,1
16,5 Users - SqlServer -  GetOrdersByCustomer,200,1949,16,1
7,5 Users - SqlServer -  GetOrdersByCustomer,200,1728,7,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1016,4,0
6,5 Users - SqlServer -  GetOrdersByCustomer,200,1429,6,0
22,5 Users - SqlServer -  GetOrdersByCustomer,200,1317,22,1
6,5 Users - SqlServer -  GetOrdersByCustomer,200,1876,6,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1408,3,0
6,5 Users - SqlServer -  GetOrdersByCustomer,200,1974,6,0
9,5 Users - SqlServer -  GetOrdersByCustomer,200,2295,9,0
9,5 Users - SqlServer -  GetOrdersByCustomer,200,1347,9,1
6,5 Users - SqlServer -  GetOrdersByCustomer,200,2105,6,1
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1592,4,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1194,5,0
6,5 Users - SqlServer -  GetOrdersByCustomer,200,2018,6,0
6,5 Users - SqlServer -  GetOrdersByCustomer,200,1925,6,1
6,5 Users - SqlServer -  GetOrdersByCustomer,200,1499,6,1
6,5 Users - SqlServer -  GetOrdersByCustomer,200,1743,6,1
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1260,4,1
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1254,3,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1868,5,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1287,4,1
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1672,4,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1516,5,1
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1354,5,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1516,3,0
8,5 Users - SqlServer -  GetOrdersByCustomer,200,1670,8,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1511,4,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1595,4,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1635,5,1
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1419,4,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1738,5,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,2129,5,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1662,5,1
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1512,5,1
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1386,4,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1968,4,1
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1343,3,0
2,5 Users - SqlServer -  GetOrdersByCustomer,200,1598,2,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1868,5,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1673,5,1
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1583,3,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1495,3,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,2024,5,1
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1978,5,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1021,3,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1794,5,1
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1764,4,1
2,5 Users - SqlServer -  GetOrdersByCustomer,200,952,2,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1329,3,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1714,5,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1506,4,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1979,3,1
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1893,4,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1797,4,0
2,5 Users - SqlServer -  GetOrdersByCustomer,200,1018,2,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,2209,5,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,2353,4,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,2286,5,1
2,5 Users - SqlServer -  GetOrdersByCustomer,200,1602,2,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1489,3,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,2115,5,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,2090,4,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1666,3,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1645,4,1
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1797,4,1
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1584,3,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1606,3,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1652,4,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1964,3,0
2,5 Users - SqlServer -  GetOrdersByCustomer,200,1353,2,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1358,4,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,2626,5,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,2020,4,1
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1806,4,1
2,5 Users - SqlServer -  GetOrdersByCustomer,200,1024,2,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,2129,4,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1729,3,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1362,3,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1701,4,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1682,3,1
2,5 Users - SqlServer -  GetOrdersByCustomer,200,1016,2,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1735,4,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,2660,4,1
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1797,3,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1564,3,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1580,3,0
2,5 Users - SqlServer -  GetOrdersByCustomer,200,1764,2,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1755,4,1
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1811,4,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1292,3,0
2,5 Users - SqlServer -  GetOrdersByCustomer,200,1207,2,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1665,4,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1505,4,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,2244,4,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1095,3,1
2,5 Users - SqlServer -  GetOrdersByCustomer,200,1671,2,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1670,3,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1646,3,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1913,3,0
2,5 Users - SqlServer -  GetOrdersByCustomer,200,1308,2,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1273,3,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,2327,3,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1518,3,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1560,4,1
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1650,4,1
5,5 Users - SqlServer -  GetOrdersByCustomer,200,2522,5,1
5,5 Users - SqlServer -  GetOrdersByCustomer,200,2344,5,1
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1397,4,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1515,3,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1170,4,1
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1829,3,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,2183,4,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1344,3,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,2231,3,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1481,3,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1583,4,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1888,4,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1480,3,1
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1778,3,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,2565,4,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1323,4,1
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1534,4,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1805,4,0
6,5 Users - SqlServer -  GetOrdersByCustomer,200,1691,6,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1354,3,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1592,4,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,2047,4,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1427,4,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,1657,4,1
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1907,5,1
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1963,3,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,2077,4,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1960,5,1
2,5 Users - SqlServer -  GetOrdersByCustomer,200,1258,2,1
5,5 Users - SqlServer -  GetOrdersByCustomer,200,2365,5,1
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1872,4,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,1655,5,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1870,3,1
4,5 Users - SqlServer -  GetOrdersByCustomer,200,2301,4,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1525,3,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,2313,5,0
5,5 Users - SqlServer -  GetOrdersByCustomer,200,2024,5,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1417,3,0
3,5 Users - SqlServer -  GetOrdersByCustomer,200,1677,3,0
4,5 Users - SqlServer -  GetOrdersByCustomer,200,2106,4,0
