elapsed,label,responseCode,bytes,Latency,Connect
268,1 Users - SqlServer -  SearchProducts,200,256,267,1
275,1 Users - SqlServer -  SearchProducts,200,256,274,0
271,1 Users - SqlServer -  SearchProducts,200,256,270,1
265,1 Users - SqlServer -  SearchProducts,200,256,265,1
288,1 Users - SqlServer -  SearchProducts,200,256,286,0
269,1 Users - SqlServer -  SearchProducts,200,256,268,1
267,1 Users - SqlServer -  SearchProducts,200,256,266,0
264,1 Users - SqlServer -  SearchProducts,200,256,263,1
266,1 Users - SqlServer -  SearchProducts,200,256,265,0
268,1 Users - SqlServer -  SearchProducts,200,256,267,0
