elapsed,label,responseCode,bytes,Latency,Connect
124,1 Users - SqlServer -  TopProducts,200,1337,124,1
4,1 Users - SqlServer -  TopProducts,200,160,4,0
248,1 Users - SqlServer -  TopProducts,200,1284,248,1
2,1 Users - SqlServer -  TopProducts,200,160,2,0
160,1 Users - SqlServer -  TopProducts,200,1324,160,0
127,1 Users - SqlServer -  TopProducts,200,1299,127,0
243,1 Users - SqlServer -  TopProducts,200,1332,243,0
141,1 Users - SqlServer -  TopProducts,200,1308,141,0
211,1 Users - SqlServer -  TopProducts,200,1330,211,0
95,1 Users - SqlServer -  TopProducts,200,1404,95,0
3,1 Users - SqlServer -  TopProducts,200,160,3,1
1,1 Users - SqlServer -  TopProducts,200,160,1,0
76,1 Users - SqlServer -  TopProducts,200,1357,76,0
66,1 Users - SqlServer -  TopProducts,200,1377,65,0
260,1 Users - SqlServer -  TopProducts,200,1310,260,0
180,1 Users - SqlServer -  TopProducts,200,1291,180,1
2,1 Users - SqlServer -  TopProducts,200,160,2,0
305,1 Users - SqlServer -  TopProducts,200,1302,305,0
219,1 Users - SqlServer -  TopProducts,200,1328,219,1
119,1 Users - SqlServer -  TopProducts,200,1286,119,1
115,1 Users - SqlServer -  TopProducts,200,1297,115,1
132,1 Users - SqlServer -  TopProducts,200,1338,132,0
2,1 Users - SqlServer -  TopProducts,200,160,2,1
155,1 Users - SqlServer -  TopProducts,200,1339,155,0
165,1 Users - SqlServer -  TopProducts,200,1330,165,0
49,1 Users - SqlServer -  TopProducts,200,942,49,0
94,1 Users - SqlServer -  TopProducts,200,1399,94,1
114,1 Users - SqlServer -  TopProducts,200,1291,114,1
230,1 Users - SqlServer -  TopProducts,200,1287,230,1
213,1 Users - SqlServer -  TopProducts,200,1371,213,1
142,1 Users - SqlServer -  TopProducts,200,1339,142,0
241,1 Users - SqlServer -  TopProducts,200,1298,241,1
231,1 Users - SqlServer -  TopProducts,200,1307,231,0
96,1 Users - SqlServer -  TopProducts,200,1395,96,1
222,1 Users - SqlServer -  TopProducts,200,1340,221,1
177,1 Users - SqlServer -  TopProducts,200,1378,177,1
144,1 Users - SqlServer -  TopProducts,200,1387,144,1
400,1 Users - SqlServer -  TopProducts,200,1302,400,0
264,1 Users - SqlServer -  TopProducts,200,1334,264,0
242,1 Users - SqlServer -  TopProducts,200,1291,242,0
245,1 Users - SqlServer -  TopProducts,200,1329,245,1
286,1 Users - SqlServer -  TopProducts,200,1325,286,0
140,1 Users - SqlServer -  TopProducts,200,1348,140,0
121,1 Users - SqlServer -  TopProducts,200,1308,121,0
53,1 Users - SqlServer -  TopProducts,200,1331,53,0
322,1 Users - SqlServer -  TopProducts,200,1334,322,0
2,1 Users - SqlServer -  TopProducts,200,160,2,1
104,1 Users - SqlServer -  TopProducts,200,1389,104,0
3,1 Users - SqlServer -  TopProducts,200,160,3,1
2,1 Users - SqlServer -  TopProducts,200,160,2,0
113,1 Users - SqlServer -  TopProducts,200,1404,113,0
1,1 Users - SqlServer -  TopProducts,200,160,1,0
243,1 Users - SqlServer -  TopProducts,200,1368,243,0
90,1 Users - SqlServer -  TopProducts,200,1398,90,1
2,1 Users - SqlServer -  TopProducts,200,160,2,0
235,1 Users - SqlServer -  TopProducts,200,1335,235,1
325,1 Users - SqlServer -  TopProducts,200,1333,325,0
109,1 Users - SqlServer -  TopProducts,200,1383,109,0
117,1 Users - SqlServer -  TopProducts,200,1375,117,1
174,1 Users - SqlServer -  TopProducts,200,1423,174,1
211,1 Users - SqlServer -  TopProducts,200,1355,211,0
