elapsed,label,responseCode,bytes,Latency,Connect
223,1 Users - Access -  SearchProducts,200,249,223,1
191,1 Users - Access -  SearchProducts,200,2546,191,1
184,1 Users - Access -  SearchProducts,200,259,184,0
206,1 Users - Access -  SearchProducts,200,2931,206,1
187,1 Users - Access -  SearchProducts,200,342,187,0
209,1 Users - Access -  SearchProducts,200,2284,209,1
192,1 Users - Access -  SearchProducts,200,2355,192,1
204,1 Users - Access -  SearchProducts,200,2593,204,1
206,1 Users - Access -  SearchProducts,200,255,206,1
206,1 Users - Access -  SearchProducts,200,257,206,1
203,1 Users - Access -  SearchProducts,200,250,203,1
188,1 Users - Access -  SearchProducts,200,249,188,1
186,1 Users - Access -  SearchProducts,200,255,186,0
196,1 Users - Access -  SearchProducts,200,255,196,0
184,1 Users - Access -  SearchProducts,200,258,184,0
196,1 Users - Access -  SearchProducts,200,262,196,1
189,1 Users - Access -  SearchProducts,200,261,189,0
198,1 Users - Access -  SearchProducts,200,259,198,1
188,1 Users - Access -  SearchProducts,200,255,188,0
185,1 Users - Access -  SearchProducts,200,255,185,0
173,1 Users - Access -  SearchProducts,200,254,173,1
172,1 Users - Access -  SearchProducts,200,259,172,0
173,1 Users - Access -  SearchProducts,200,2493,173,1
176,1 Users - Access -  SearchProducts,200,255,176,0
202,1 Users - Access -  SearchProducts,200,254,202,0
177,1 Users - Access -  SearchProducts,200,264,177,0
192,1 Users - Access -  SearchProducts,200,252,192,1
202,1 Users - Access -  SearchProducts,200,257,202,1
186,1 Users - Access -  SearchProducts,200,252,186,0
189,1 Users - Access -  SearchProducts,200,2280,189,1
180,1 Users - Access -  SearchProducts,200,2495,180,1
184,1 Users - Access -  SearchProducts,200,2472,184,0
188,1 Users - Access -  SearchProducts,200,251,188,0
174,1 Users - Access -  SearchProducts,200,2165,174,1
171,1 Users - Access -  SearchProducts,200,256,171,1
195,1 Users - Access -  SearchProducts,200,265,195,0
197,1 Users - Access -  SearchProducts,200,253,197,1
176,1 Users - Access -  SearchProducts,200,359,176,1
186,1 Users - Access -  SearchProducts,200,250,186,0
190,1 Users - Access -  SearchProducts,200,255,190,1
179,1 Users - Access -  SearchProducts,200,256,179,1
183,1 Users - Access -  SearchProducts,200,2535,183,1
186,1 Users - Access -  SearchProducts,200,248,186,0
205,1 Users - Access -  SearchProducts,200,252,205,1
188,1 Users - Access -  SearchProducts,200,2652,188,1
192,1 Users - Access -  SearchProducts,200,260,192,0
189,1 Users - Access -  SearchProducts,200,250,189,0
205,1 Users - Access -  SearchProducts,200,251,205,0
174,1 Users - Access -  SearchProducts,200,346,174,0
191,1 Users - Access -  SearchProducts,200,2477,191,0
185,1 Users - Access -  SearchProducts,200,160,185,0
180,1 Users - Access -  SearchProducts,200,258,180,1
186,1 Users - Access -  SearchProducts,200,253,186,1
183,1 Users - Access -  SearchProducts,200,253,183,1
175,1 Users - Access -  SearchProducts,200,2786,175,1
170,1 Users - Access -  SearchProducts,200,252,170,0
175,1 Users - Access -  SearchProducts,200,257,175,0
185,1 Users - Access -  SearchProducts,200,252,185,1
172,1 Users - Access -  SearchProducts,200,253,172,1
171,1 Users - Access -  SearchProducts,200,259,171,1
192,1 Users - Access -  SearchProducts,200,2664,192,0
185,1 Users - Access -  SearchProducts,200,249,185,1
189,1 Users - Access -  SearchProducts,200,2546,189,0
172,1 Users - Access -  SearchProducts,200,259,172,0
175,1 Users - Access -  SearchProducts,200,2931,175,1
170,1 Users - Access -  SearchProducts,200,342,170,0
185,1 Users - Access -  SearchProducts,200,2284,185,1
189,1 Users - Access -  SearchProducts,200,2355,189,0
188,1 Users - Access -  SearchProducts,200,2593,188,1
217,1 Users - Access -  SearchProducts,200,255,217,0
190,1 Users - Access -  SearchProducts,200,257,190,0
185,1 Users - Access -  SearchProducts,200,250,185,0
179,1 Users - Access -  SearchProducts,200,249,179,0
203,1 Users - Access -  SearchProducts,200,255,203,1
185,1 Users - Access -  SearchProducts,200,255,185,1
186,1 Users - Access -  SearchProducts,200,258,186,1
208,1 Users - Access -  SearchProducts,200,262,208,0
187,1 Users - Access -  SearchProducts,200,261,187,1
176,1 Users - Access -  SearchProducts,200,259,176,0
210,1 Users - Access -  SearchProducts,200,255,210,0
230,1 Users - Access -  SearchProducts,200,255,230,0
206,1 Users - Access -  SearchProducts,200,254,206,0
228,1 Users - Access -  SearchProducts,200,259,228,1
180,1 Users - Access -  SearchProducts,200,2493,180,0
199,1 Users - Access -  SearchProducts,200,255,199,1
190,1 Users - Access -  SearchProducts,200,254,190,1
181,1 Users - Access -  SearchProducts,200,264,181,0
214,1 Users - Access -  SearchProducts,200,252,214,1
188,1 Users - Access -  SearchProducts,200,257,188,1
174,1 Users - Access -  SearchProducts,200,252,174,1
192,1 Users - Access -  SearchProducts,200,2280,192,1
204,1 Users - Access -  SearchProducts,200,2495,204,1
213,1 Users - Access -  SearchProducts,200,2472,213,1
195,1 Users - Access -  SearchProducts,200,251,195,1
198,1 Users - Access -  SearchProducts,200,2165,198,1
177,1 Users - Access -  SearchProducts,200,256,177,1
171,1 Users - Access -  SearchProducts,200,265,171,1
175,1 Users - Access -  SearchProducts,200,253,175,1
171,1 Users - Access -  SearchProducts,200,359,171,1
187,1 Users - Access -  SearchProducts,200,250,187,1
